i  ,y    ,z
0,1981,1113
1,1982,1113
2,1983,1113
3,1984,1113
4,1985,1113
5,1986,1113
6,1987,1113
7,1988,1113
8,1989,1113
9,1990,1113
10,1991,1113
11,1992,1113
12,1993,1113
13,1994,1113
14,1995,1113
15,1996,1113
16,1997,1113
17,1998,1113
18,1999,1113
19,2000,1113
20,2001,1113
21,2002,1113
22,2003,1113
23,2004,1113
24,2005,1113
25,2006,1113
26,2007,1113
27,2008,1113
28,2009,1113
