1981	732414	0	0	0	366207	366207
1982	732415	0	8170	8171	370221	362194
1983	732416	0	8047	8048	374088	358328
1984	732417	0	7951	7952	378117	354300
1985	732418	0	7786	7787	381936	350482
1986	732418	0	7595	7595	385684	346734
1987	732420	0	7564	7566	389458	342962
1988	732420	0	7167	7167	392992	339428
1989	732421	0	7300	7301	396598	335823
1990	732421	0	7238	7238	400242	332179
1991	732422	0	6903	6904	403748	328674
1992	732423	0	6971	6972	407283	325140
1993	732423	0	6924	6924	410703	321720
1994	732424	0	6882	6883	414102	318322
1995	732425	0	6967	6968	417561	314864
1996	732425	0	6889	6889	420948	311477
1997	732426	0	6908	6909	424343	308083
1998	732427	0	6902	6903	427776	304651
1999	732428	0	7032	7033	431199	301229
2000	732429	0	6998	6999	434658	297771
2001	732429	0	7033	7033	438077	294352
2002	732429	0	6836	6836	441400	291029
2003	732430	0	6763	6764	444753	287677
2004	732430	0	6947	6947	448273	284157
2005	732432	0	6972	6974	451693	280739
2006	732432	0	6832	6832	454969	277463
2007	732433	0	6778	6779	458302	274131
2008	732434	0	7020	7021	461814	270620
2009	732434	0	7051	7051	465324	267110
2010	732435	0	7110	7111	468845	263590
2011	732436	0	7032	7033	472345	260091
2012	732436	0	6950	6950	475796	256640
2013	732437	0	7172	7173	479362	253075
2014	732438	0	7295	7296	482930	249508
2015	732438	0	7446	7446	486547	245891
2016	732440	0	7581	7583	490093	242347
2017	732440	0	7712	7712	493756	238684
2018	732441	0	7884	7885	497382	235059
2019	732441	0	8102	8102	501136	231305
2020	732442	0	8370	8371	504931	227511
2021	732443	0	8420	8421	508663	223780
2022	732443	0	8688	8688	512659	219784
2023	732444	0	8933	8934	516656	215788
2024	732445	0	9126	9127	520661	211784
2025	732446	0	9358	9359	524818	207628
2026	732447	0	9669	9670	529046	203401
2027	732447	0	9758	9758	533273	199174
2028	732447	0	10152	10152	537549	194898
2029	732449	0	10392	10394	541913	190536
2030	732449	0	10514	10514	546446	186003
2031	732450	0	10794	10795	550972	181478
2032	732450	0	11079	11079	555599	176851
2033	732451	0	11515	11516	560387	172064
2034	732452	0	11622	11623	565087	167365
2035	732453	0	11711	11712	569896	162557
2036	732453	0	12113	12113	574838	157615
2037	732454	0	12497	12498	579887	152567
2038	732455	0	12726	12727	584884	147571
2039	732455	0	12555	12555	589909	142546
2040	732456	0	12859	12860	595032	137424
2041	732457	0	13021	13022	600176	132281
2042	732457	0	13049	13049	605283	127174
2043	732458	0	13247	13248	610310	122148
2044	732458	0	13377	13377	615410	117048
2045	732459	0	13297	13298	620338	112121
2046	732460	0	13266	13267	625219	107241
2047	732460	0	13192	13192	629942	102518
2048	732461	0	13240	13241	634664	97797
2049	732462	0	13191	13192	639355	93107
2050	732462	0	13057	13057	643861	88601
