1981	732414	0	0	366207	366207
1982	732415	8261	8262	370221	362194
1983	732416	7937	7938	374167	358249
1984	732417	7853	7854	378058	354359
1985	732417	7675	7675	381804	350613
1986	732419	7719	7721	385679	346740
1987	732419	7547	7547	389394	343025
1988	732420	7376	7377	393046	339374
1989	732420	7210	7210	396621	335799
1990	732421	7240	7241	400188	332233
1991	732422	7089	7090	403668	328754
1992	732423	7246	7247	407242	325181
1993	732423	6978	6978	410745	321678
1994	732424	6933	6934	414162	318262
1995	732425	6897	6898	417634	314791
1996	732425	6735	6735	420949	311476
1997	732426	7046	7047	424382	308044
1998	732427	6837	6838	427743	304684
1999	732427	6851	6851	431169	301258
2000	732428	6812	6813	434600	297828
2001	732428	6632	6632	437881	294547
2002	732429	6931	6932	441337	291092
2003	732430	6914	6915	444804	287626
2004	732431	6948	6949	448228	284203
2005	732432	6986	6987	451720	280712
2006	732432	6744	6744	455061	277371
2007	732433	6865	6866	458520	273913
2008	732434	6966	6967	461965	270469
2009	732434	7167	7167	465556	266878
2010	732435	7185	7186	469057	263378
2011	732436	7087	7088	472598	259838
2012	732436	6946	6946	475995	256441
2013	732437	7168	7169	479520	252917
2014	732438	7363	7364	483008	249430
2015	732438	7466	7466	486666	245772
2016	732439	7425	7426	490189	242250
2017	732440	7614	7615	493838	238602
2018	732441	7889	7890	497554	234887
2019	732442	8076	8077	501277	231165
2020	732442	8264	8264	504944	227498
2021	732443	8334	8335	508816	223627
2022	732443	8698	8698	512706	219737
2023	732444	8880	8881	516651	215793
2024	732445	9090	9091	520623	211822
2025	732445	9423	9423	524836	207609
2026	732446	9528	9529	528932	203514
2027	732447	9823	9824	533200	199247
2028	732448	10102	10103	537508	194940
2029	732448	10375	10375	541961	190487
2030	732449	10559	10560	546389	186060
2031	732450	10901	10902	550866	181584
2032	732450	11105	11105	555502	176948
2033	732451	11504	11505	560281	172170
2034	732452	11805	11806	565201	167251
2035	732452	11910	11910	570135	162317
2036	732453	12153	12154	575119	157334
2037	732453	12313	12313	580119	152334
2038	732455	12538	12540	585230	147225
2039	732455	12819	12819	590203	142252
2040	732455	13077	13077	595353	137102
2041	732457	12929	12931	600491	131966
2042	732457	13306	13306	605559	126898
2043	732458	13258	13259	610602	121856
2044	732459	13263	13264	615545	116914
2045	732459	13225	13225	620490	111969
2046	732460	13200	13201	625361	107099
2047	732461	13194	13195	630221	102240
2048	732461	13193	13193	634959	97502
2049	732462	13213	13214	639645	92817
2050	732462	13142	13142	644207	88255
